run_id,date,rep,rep_id,metric,metric_sentence,algorithm,k,seed,n_rows,sample_rule,silhouette,calinski_harabasz,davies_bouldin,min_cluster_pct,runtime_s,parameters,diagnostics,notes
20260604T100721Z,2026-06-04,Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,iK-Means,12,42,117429,all rows,0.1092,9145.63,1.8918,0.76,36.78,min_cluster_size=11;random_state=42;k_auto=12,min_cluster_pct=0.76,
20260604T100721Z,2026-06-04,Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,3,42,117429,all rows,0.1213,10977.85,2.3581,2.83,1.13,n_init=10;init=k-means++;random_state=42,min_cluster_pct=2.83,
20260604T100721Z,2026-06-04,Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,4,42,117429,all rows,0.1256,10911.93,2.0977,2.93,0.95,n_init=10;init=k-means++;random_state=42,min_cluster_pct=2.93,
20260604T100721Z,2026-06-04,Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,5,42,117429,all rows,0.0953,10422.2,1.8804,0.76,0.98,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.76,
20260604T100721Z,2026-06-04,Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,6,42,117429,all rows,0.114,10920.39,1.6876,0.12,1.13,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.12,
20260604T100721Z,2026-06-04,Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,7,42,117429,all rows,0.1201,11421.09,1.5764,0.18,1.0,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.18,
20260604T100721Z,2026-06-04,Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,8,42,117429,all rows,0.1413,11963.67,1.4881,0.12,1.47,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.12,
20260604T100721Z,2026-06-04,Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,iK-Means,12,42,117429,all rows,0.0921,10892.26,1.8597,0.08,35.17,min_cluster_size=11;random_state=42;k_auto=12,min_cluster_pct=0.08,
20260604T100721Z,2026-06-04,Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,3,42,117429,all rows,0.0987,15902.61,2.1438,0.23,0.79,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.23,
20260604T100721Z,2026-06-04,Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,4,42,117429,all rows,0.0999,14944.99,1.7091,0.12,0.99,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.12,
20260604T100721Z,2026-06-04,Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,5,42,117429,all rows,0.1124,14859.58,1.6571,0.12,0.8,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.12,
20260604T100721Z,2026-06-04,Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,6,42,117429,all rows,0.1174,14378.79,1.5047,0.09,0.87,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.09,
20260604T100721Z,2026-06-04,Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,7,42,117429,all rows,0.1279,14037.88,1.5381,0.08,1.05,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.08,
20260604T100721Z,2026-06-04,Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,Euclid+OHE,Euclidean distance on scaled numeric features + one-hot encoded categorical features.,K-Means,8,42,117429,all rows,0.1304,13556.31,1.5412,0.04,1.3,n_init=10;init=k-means++;random_state=42,min_cluster_pct=0.04,
